id;user_id;document_id;action;ip_address;user_agent;search_query;accessed_at;result_count;clicked_result_id
0ddd4950-f68d-4af1-85d7-f0c4e1eecb50;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Systems;2025-10-24 15:18:31.721634+00;;
bdbcc190-acbb-41f5-8139-ce499e8a2db7;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Systems;2025-10-24 15:18:41.88841+00;;
90c98266-bbe2-4d24-9668-9b07e7c0aa43;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core System;2025-10-24 15:18:45.102251+00;;
da600a7f-755b-4d33-9c8f-0b21b38c7f63;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Syste;2025-10-24 15:18:45.663267+00;;
d04eab86-b53b-416f-8189-c6ea2118c7ef;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Syst;2025-10-24 15:18:45.733136+00;;
936349ce-0ccb-4d5f-9531-8586088d1563;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Sy;2025-10-24 15:18:45.785258+00;;
2cca220f-757f-43cb-ae09-b660a73b09e0;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Sys;2025-10-24 15:18:45.822862+00;;
e65078b9-e0a7-497c-97fe-3943acad674e;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core S;2025-10-24 15:18:45.833286+00;;
b595580b-b1a4-4e5c-b5ef-20d3d7362ff6;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core ;2025-10-24 15:18:45.906036+00;;
2e0de651-91df-4c2b-8db0-78b146f55e1d;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core;2025-10-24 15:18:45.929898+00;;
4a8d65bc-2bf1-4d7f-9262-49fcdecaaad9;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Cor;2025-10-24 15:18:45.93303+00;;
fc3f1880-3e90-4615-93a3-341173efaaf5;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Co;2025-10-24 15:18:45.973306+00;;
96067c0e-58c3-4b8c-a2b8-58607a8255c6;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Technical Reference;2025-10-24 15:18:48.454078+00;;
dfb2eaa1-2996-4025-8899-d02c48da5682;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Systems;2025-10-24 16:35:11.029304+00;;
dad4f0a8-5622-4325-af35-55854d9bae37;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;mobile-validation-global;view;;;;2025-10-24 16:35:21.937639+00;;
ff030554-0795-4b7b-aea1-8cb9ae435cfe;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;Core Systems;2025-10-24 16:38:07.861199+00;;
a957b67d-0c91-4b8d-ae41-9af537101afc;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;profile-system;view;;;;2025-10-24 16:38:11.222619+00;;
a27d42b8-be19-4303-8728-575a52f026db;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;mo;2025-10-27 14:15:29.028711+00;;
442351b6-681c-45ba-b957-a9f8f4dfe8ea;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;mob;2025-10-27 14:15:29.028706+00;;
4619799d-185d-40c8-b921-0dc27147aab7;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;mobi;2025-10-27 14:15:29.222995+00;;
d1fd0fc9-7d32-405f-a2b4-a55018d3c83a;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;mobil;2025-10-27 14:15:29.364763+00;;
5047bedc-7ee7-4bc9-8f77-497becc4c308;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;mobile;2025-10-27 14:15:29.475466+00;;
bbd5e4eb-6709-4c34-849c-9f61e3be7ee7;bcf0974b-80b3-4b4c-a329-b8fdf3eee4fc;;search;;;mobile;2025-10-27 14:15:57.521923+00;;
